date	asset_class	fund_code	fund_name	shares	nav	nav_date	market_value	cost_basis	pnl_pct	weight_pct	nav_source	total_value	total_pnl_pct
2026-05-02	股票	000051	沪深300ETF联接	276.5487			500.0	500	0.0	12.5	stale	4000.0	-0.0
2026-05-02	股票	270042	纳指ETF	65.189			500.0	500	-0.0	12.5	stale	4000.0	-0.0
2026-05-02	长债	003376	30年国债	9.4907			1000.0	1000	-0.0	25.0	stale	4000.0	-0.0
2026-05-02	黄金	000307	黄金ETF联接	300.3003			1000.0	1000	-0.0	25.0	stale	4000.0	-0.0
2026-05-02	现金	CASH	现金	1.0			1000.0	1000	0.0	25.0	live	4000.0	-0.0
2026-05-02	股票	000051	沪深300ETF联接	276.5487	1.808	2026-04-30	500.0	500	0.0	16.6	live	3012.92	-24.68
2026-05-02	股票	270042	纳指ETF	65.189	7.6704	2026-04-29	500.03	500	0.01	16.6	live	3012.92	-24.68
2026-05-02	长债	003376	30年国债	9.4907	1.3619	2026-04-30	12.93	1000	-98.71	0.43	live	3012.92	-24.68
2026-05-02	黄金	000307	黄金ETF联接	300.3003	3.3299	2026-04-30	999.97	1000	-0.0	33.19	live	3012.92	-24.68
2026-05-02	现金	CASH	现金	1.0			1000.0	1000	0.0	33.19	live	3012.92	-24.68
2026-05-02	股票	000051	沪深300ETF联接	276.5487	1.808	2026-04-30	500.0	500	0.0	12.5	live	3999.92	-0.0
2026-05-02	股票	270042	纳指ETF	65.189	7.6704	2026-04-29	500.03	500	0.01	12.5	live	3999.92	-0.0
2026-05-02	长债	003376	30年国债	734.2144	1.3619	2026-04-30	999.93	1000	-0.01	25.0	live	3999.92	-0.0
2026-05-02	黄金	000307	黄金ETF联接	300.3003	3.3299	2026-04-30	999.97	1000	-0.0	25.0	live	3999.92	-0.0
2026-05-02	现金	CASH	现金	1.0			1000.0	1000	0.0	25.0	live	3999.92	-0.0
2026-05-03	股票	000051	沪深300ETF联接	276.5487	1.808	2026-04-30	500.0	500	0.0	12.5	live	3999.92	-0.0
2026-05-03	股票	270042	纳指ETF	65.189	7.6704	2026-04-29	500.03	500	0.01	12.5	live	3999.92	-0.0
2026-05-03	长债	003376	30年国债	734.2144	1.3619	2026-04-30	999.93	1000	-0.01	25.0	live	3999.92	-0.0
2026-05-03	黄金	000307	黄金ETF联接	300.3003	3.3299	2026-04-30	999.97	1000	-0.0	25.0	live	3999.92	-0.0
2026-05-03	现金	CASH	现金	1.0			1000.0	1000	0.0	25.0	live	3999.92	-0.0

2026-05-06	股票	000051	沪深300ETF联接	276.5487	1.808	2026-04-30	500.0	500	0.0	11.39	fallback	4391.03	9.78
2026-05-06	股票	000834	大成纳指ETF	33.6304			200.0	200	-0.0	4.55	stale	4391.03	9.78
2026-05-06	股票	016452	南方纳指ETF	93.2749			200.0	200	0.0	4.55	stale	4391.03	9.78
2026-05-06	股票	270042	标普500	62.3014	7.6704	2026-04-29	477.88	100	377.88	10.88	fallback	4391.03	9.78
2026-05-06	长债	003376	7-10年国债	734.2683	1.3619	2026-04-30	1000.0	1000	-0.0	22.77	fallback	4391.03	9.78
2026-05-06	黄金	000216	黄金ETF联接	284.6327	3.5595	2026-05-06	1013.15	1000	1.32	23.07	live	4391.03	9.78

2026-05-06	现金	CASH	现金	1.0			1000.0	1000	0.0	22.77	live	4391.03	9.78
2026-05-06	股票	000051	沪深300ETF联接	276.5487	1.808	2026-04-30	500.0	500	0.0	11.39	fallback	4391.03	9.78
2026-05-06	股票	000834	大成纳指ETF	33.6304			200.0	200	-0.0	4.55	stale	4391.03	9.78
2026-05-06	股票	016452	南方纳指ETF	93.2749			200.0	200	0.0	4.55	stale	4391.03	9.78
2026-05-06	股票	270042	标普500	62.3014	7.6704	2026-04-29	477.88	100	377.88	10.88	fallback	4391.03	9.78
2026-05-06	长债	003376	7-10年国债	734.2683	1.3619	2026-04-30	1000.0	1000	-0.0	22.77	fallback	4391.03	9.78
2026-05-06	黄金	000216	黄金ETF联接	284.6327	3.5595	2026-05-06	1013.15	1000	1.32	23.07	live	4391.03	9.78
2026-05-06	现金	CASH	现金	1.0			1000.0	1000	0.0	22.77	live	4391.03	9.78
2026-05-08	股票	000051	沪深300ETF联接	276.5487	1.8415	2026-05-07	509.26	500	1.85	11.43	live	4456.09	11.4
2026-05-08	股票	000834	大成纳指ETF	33.6304	6.2381	2026-05-06	209.79	200	4.89	4.71	live	4456.09	11.4
2026-05-08	股票	016452	南方纳指ETF	93.2749	2.2492	2026-05-06	209.79	200	4.9	4.71	live	4456.09	11.4
2026-05-08	股票	270042	标普500	62.3014	8.0609	2026-05-06	502.21	100	402.21	11.27	live	4456.09	11.4
2026-05-08	长债	003376	7-10年国债	734.2683	1.362	2026-05-07	1000.07	1000	0.01	22.44	live	4456.09	11.4
2026-05-08	黄金	000216	黄金ETF联接	284.6327	3.601	2026-05-07	1024.96	1000	2.5	23.0	live	4456.09	11.4
2026-05-08	现金	CASH	现金	1.0			1000.0	1000	0.0	22.44	live	4456.09	11.4
